name,source,parameter_words,local_words,local_base,statement
bot_getplace,server/bot/default/scripting.qc,2,6,52075,361130
bot_commands_init,server/bot/default/scripting.qc,0,0,52075,361274
bot_decodecommand,server/bot/default/scripting.qc,1,3,52075,361324
bot_cmd_cc,server/bot/default/scripting.qc,1,1,52075,361489
bot_cmd_impulse,server/bot/default/scripting.qc,1,1,52075,361494
bot_cmd_continue,server/bot/default/scripting.qc,1,1,52075,361500
bot_cmd_wait,server/bot/default/scripting.qc,1,1,52075,361507
bot_cmd_wait_until,server/bot/default/scripting.qc,1,1,52075,361529
bot_cmd_barrier,server/bot/default/scripting.qc,1,2,52075,361544
bot_cmd_turn,server/bot/default/scripting.qc,1,3,52075,361597
bot_cmd_select_weapon,server/bot/default/scripting.qc,1,5,52075,361612
bot_cmd_eval,server/bot/default/scripting.qc,2,2,52075,361659
bot_cmd_if,server/bot/default/scripting.qc,1,4,52075,361735
bot_cmd_else,server/bot/default/scripting.qc,1,1,52075,361906
bot_cmd_fi,server/bot/default/scripting.qc,1,1,52075,361916
bot_cmd_resetaim,server/bot/default/scripting.qc,1,1,52075,361920
bot_cmd_aim,server/bot/default/scripting.qc,1,4,52075,361924
bot_cmd_aimtarget,server/bot/default/scripting.qc,1,6,52075,362021
bot_presskeys,server/bot/default/scripting.qc,1,1,52075,362093
bot_cmd_keypress_handler,server/bot/default/scripting.qc,3,3,52075,362193
bot_cmd_presskey,server/bot/default/scripting.qc,1,1,52075,362362
bot_cmd_releasekey,server/bot/default/scripting.qc,1,1,52075,362369
bot_cmd_pause,server/bot/default/scripting.qc,1,1,52075,362376
bot_cmd_moveto,server/bot/default/scripting.qc,1,2,52075,362412
bot_cmd_movetotarget,server/bot/default/scripting.qc,1,2,52075,362418
bot_cmd_resetgoal,server/bot/default/scripting.qc,1,2,52075,362435
bot_cmd_sound,server/bot/default/scripting.qc,1,7,52075,362440
bot_cmd_debug_assert_canfire,server/bot/default/scripting.qc,1,5,52075,362491
bot_command_executed,server/bot/default/scripting.qc,2,2,52075,362697
bot_setcurrentcommand,server/bot/default/scripting.qc,1,2,52075,362708
bot_execute_commands_once,server/bot/default/scripting.qc,1,3,52075,362759
waypoint_getSymmetricalPoint,server/bot/default/waypoints.qc,4,7,52075,363096
crosshair_trace_waypoints,server/bot/default/waypoints.qc,1,5,52075,363149
waypoint_setupmodel,server/bot/default/waypoints.qc,1,8,52075,363232
waypoint_restore_hardwiredlinks,server/bot/default/waypoints.qc,1,1,52075,363313
waypoint_get_type_name,server/bot/default/waypoints.qc,1,5,52075,363354
waypoint_get,server/bot/default/waypoints.qc,6,9,52075,363424
waypoint_addlink_for_custom_jumppad,server/bot/default/waypoints.qc,2,7,52075,363530
waypoint_clear_start_wp_globals,server/bot/default/waypoints.qc,2,2,52075,363580
waypoint_getlinearcost_underwater,server/bot/default/waypoints.qc,1,1,52075,363616
waypoint_getlinearcost_crouched,server/bot/default/waypoints.qc,1,1,52075,363620
waypoint_get_link,server/bot/default/waypoints.qc,2,2,52075,363624
waypoint_save_hardwiredlinks,server/bot/default/waypoints.qc,0,11,52075,363754
waypoint_spawnforteleporter_boxes,server/bot/default/waypoints.qc,15,15,52075,363951
waypoint_showlink,server/bot/default/waypoints.qc,3,3,52075,363972
waypoint_showlinks_to,server/bot/default/waypoints.qc,2,6,52075,364000
waypoint_showlinks_from,server/bot/default/waypoints.qc,2,2,52075,364038
botframe_autowaypoints_fixdown,server/bot/default/waypoints.qc,3,3,52075,364167
botframe_autowaypoints_createwp,server/bot/default/waypoints.qc,6,10,52075,364179
botframe_autowaypoints_fix_from,server/bot/default/waypoints.qc,4,18,52075,364222
botframe_autowaypoints_fix,server/bot/default/waypoints.qc,3,3,52075,364469
botframe_deleteuselesswaypoints,server/bot/default/waypoints.qc,0,9,52075,364525
havocbot_keyboard_apply,server/bot/default/havocbot/havocbot.qc,5,10,52075,364799
havocbot_checkgoaldistance,server/bot/default/havocbot/havocbot.qc,4,6,52075,364907
havocbot_select_an_item_of_group,server/bot/default/havocbot/havocbot.qc,2,5,52075,364962
havocbot_checkdanger,server/bot/default/havocbot/havocbot.qc,4,7,52075,365030
havocbot_chooseweapon_checkreload,server/bot/default/havocbot/havocbot.qc,3,7,52075,365144
havocbot_goalrating_item_can_be_left_to_teammate,server/bot/default/havocbot/roles.qc,3,4,52075,365181
havocbot_role_generic,server/bot/default/havocbot/roles.qc,1,1,52075,365313
havocbot_chooserole_generic,server/bot/default/havocbot/roles.qc,1,1,52075,365342
